"Date","Price","sret"
"3/18/2004",15.1,0
"3/19/2004",15.1,0
"3/22/2004",15.2,0.00662251655629137
"3/23/2004",15.1,-0.00657894736842103
"3/24/2004",15,-0.00662251655629137
"3/25/2004",14.8,-0.0133333333333333
"3/26/2004",14.6,-0.0135135135135136
"3/29/2004",13.8,-0.0547945205479451
"3/30/2004",13.9,0.00724637681159418
"3/31/2004",14,0.00719424460431652
"4/1/2004",14.9,0.0642857142857143
"4/2/2004",15.4,0.0335570469798658
"4/5/2004",16,0.0389610389610389
"4/7/2004",15.4,-0.0375
"4/8/2004",15.4,0
"4/9/2004",15.2,-0.0129870129870131
"4/12/2004",15.6,0.0263157894736842
"4/16/2004",15.8,0.0128205128205129
"4/19/2004",15.6,-0.0126582278481013
"4/20/2004",15.9,0.0192307692307693
"4/21/2004",15.7,-0.0125786163522013
"4/22/2004",15.2,-0.0318471337579618
"4/23/2004",15.2,0
"4/26/2004",14.7,-0.0328947368421053
"4/27/2004",15.1,0.0272108843537415
"4/28/2004",15,-0.00662251655629137
"4/29/2004",14.6,-0.0266666666666667
"4/30/2004",14.6,0
"5/4/2004",14.4,-0.0136986301369863
"5/6/2004",14.2,-0.013888888888889
"5/7/2004",14.7,0.0352112676056338
"5/10/2004",14.2,-0.0340136054421769
"5/11/2004",14.4,0.0140845070422536
"5/12/2004",14.5,0.00694444444444442
"5/13/2004",14.5,0
"5/14/2004",14.4,-0.00689655172413791
"5/17/2004",14.1,-0.0208333333333334
"5/18/2004",14.1,0
"5/19/2004",14.8,0.0496453900709221
"5/20/2004",14.4,-0.027027027027027
"5/21/2004",14.7,0.0208333333333333
"5/24/2004",14.5,-0.0136054421768707
"5/25/2004",14.5,0
"5/26/2004",14.6,0.00689655172413791
"5/27/2004",15.5,0.0616438356164384
"5/28/2004",15.4,-0.00645161290322578
"5/31/2004",15.8,0.025974025974026
"6/1/2004",15.6,-0.0126582278481013
"6/3/2004",15.5,-0.00641025641025639
"6/4/2004",15.4,-0.00645161290322578
"6/7/2004",15.2,-0.0129870129870131
"6/8/2004",14.9,-0.0197368421052631
"6/9/2004",15,0.00671140939597313
"6/10/2004",15.1,0.00666666666666664
"6/11/2004",15.1,0
"6/14/2004",15.1,0
"6/15/2004",15,-0.00662251655629137
"6/16/2004",15.2,0.0133333333333333
"6/17/2004",15.4,0.0131578947368422
"6/18/2004",15.5,0.00649350649350647
"6/21/2004",15.6,0.00645161290322578
"6/22/2004",15.6,0
"6/23/2004",15.4,-0.0128205128205128
"6/24/2004",15.6,0.0129870129870129
"6/25/2004",15.6,0
"6/28/2004",15.7,0.00641025641025639
"6/29/2004",15.6,-0.00636942675159233
"6/30/2004",15.4,-0.0128205128205128
"7/2/2004",15.4,0
"7/5/2004",15.6,0.0129870129870129
"7/6/2004",15.9,0.0192307692307693
"7/7/2004",15.8,-0.00628930817610061
"7/8/2004",15.6,-0.0126582278481013
"7/9/2004",15.8,0.0128205128205129
"7/12/2004",15.7,-0.00632911392405072
"7/13/2004",15.9,0.0127388535031848
"7/14/2004",15.6,-0.0188679245283019
"7/15/2004",15.4,-0.0128205128205128
"7/16/2004",15.2,-0.0129870129870131
"7/19/2004",14.9,-0.0197368421052631
"7/20/2004",14.9,0
"7/21/2004",15.4,0.0335570469798658
"7/22/2004",15.2,-0.0129870129870131
"7/23/2004",15.2,0
"7/26/2004",15.1,-0.00657894736842103
"7/27/2004",15,-0.00662251655629137
"7/28/2004",15.2,0.0133333333333333
"7/29/2004",15.2,0
"7/30/2004",15.3,0.00657894736842115
"8/3/2004",15.1,-0.0130718954248367
"8/4/2004",15,-0.00662251655629137
"8/5/2004",14.9,-0.00666666666666664
"8/6/2004",14.8,-0.00671140939597313
"8/9/2004",14.7,-0.00675675675675685
"8/10/2004",14.8,0.00680272108843547
"8/11/2004",14.7,-0.00675675675675685
"8/13/2004",14.7,0
"8/16/2004",15.1,0.0272108843537415
"8/17/2004",15.2,0.00662251655629137
"8/18/2004",15,-0.0131578947368421
"8/19/2004",14.9,-0.00666666666666664
"8/20/2004",14.9,0
"8/23/2004",15,0.00671140939597313
"8/24/2004",14.8,-0.0133333333333333
"8/25/2004",15,0.0135135135135135
"8/26/2004",15.1,0.00666666666666664
"8/27/2004",15.1,0
"8/30/2004",14.9,-0.0132450331125827
"8/31/2004",15,0.00671140939597313
"9/1/2004",15.4,0.0266666666666667
"9/2/2004",15.5,0.00649350649350647
"9/3/2004",15.5,0
"9/6/2004",15.6,0.00645161290322578
"9/7/2004",15.6,0
"9/8/2004",15.5,-0.00641025641025639
"9/9/2004",15.7,0.0129032258064516
"9/10/2004",15.6,-0.00636942675159233
"9/13/2004",15.7,0.00641025641025639
"9/14/2004",15.8,0.00636942675159245
"9/15/2004",16.1,0.0189873417721519
"9/16/2004",16.4,0.0186335403726706
"9/17/2004",16.9,0.0304878048780488
"9/20/2004",16.9,0
"9/21/2004",16.9,0
"9/22/2004",17,0.00591715976331369
